序号,卡口位置,车型,卡点编号,卡点名称,流向,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,鹿城区,大型汽车,330302000000,YD双南线翠微大道路口,由南向北,46,39,37,29,44,58,87,105,128,147,167,143,184,172,134,75,84,80,137,144,114,158,99,96
1,鹿城区,大型汽车,330302000000,YD双南线翠微大道路口,由西向东,34,27,28,30,38,57,110,87,98,93,98,95,90,87,101,99,96,90,71,64,49,46,56,38
1,鹿城区,大型汽车,330302000000,YD府前街仓桥街段,由北向南,0,1,0,1,1,2,9,6,5,3,6,17,9,6,5,4,16,13,9,7,5,4,0,0
1,鹿城区,大型汽车,330302000000,YD府前街仓桥街段,由南向北,0,0,0,1,1,2,7,11,12,11,15,12,26,13,14,16,27,12,11,9,10,4,1,0
1,鹿城区,大型汽车,330302000000,学院路金桥路口,由东向西,1,0,1,2,3,4,45,65,53,52,48,47,46,55,49,53,48,61,47,34,21,16,6,3
1,鹿城区,大型汽车,330302000000,学院路金桥路口,由南向北,0,0,0,0,0,1,0,2,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0
1,鹿城区,大型汽车,330302000000,学院路金桥路口,由西向东,5,1,0,1,2,7,52,62,67,55,61,55,57,54,53,53,62,53,58,41,27,17,17,12
1,鹿城区,大型汽车,330302000000,学院路惠民路口,由东向西,4,1,3,5,5,9,52,70,62,60,61,53,56,65,58,57,61,63,62,40,39,25,23,9
1,鹿城区,大型汽车,330302000000,学院路惠民路口,由北向南,2,1,1,1,4,16,47,52,40,48,41,38,43,48,46,38,39,42,32,32,30,23,15,10
1,鹿城区,大型汽车,330302000000,学院路惠民路口,由南向北,3,2,1,0,0,4,34,32,32,35,42,30,35,35,43,39,30,35,20,20,14,9,6,2
1,鹿城区,大型汽车,330302000000,学院路惠民路口,由西向东,5,1,0,1,1,5,54,61,61,55,62,52,59,55,50,43,54,54,49,37,23,18,12,7
1,鹿城区,大型汽车,330302000000,望江东路环城东路口,由东向西,19,21,16,13,11,33,37,22,20,23,28,32,22,31,17,21,37,25,22,12,28,17,15,22
1,鹿城区,大型汽车,330302000000,望江东路环城东路口,由南向北,0,0,0,0,0,8,29,30,34,41,40,30,40,33,39,37,39,32,30,40,25,17,11,1
1,鹿城区,大型汽车,330302000000,望江东路环城东路口,由西向东,13,25,15,28,17,24,58,63,62,75,71,65,77,61,80,70,53,49,64,64,43,33,39,13
1,鹿城区,大型汽车,330302000000,汤家桥南路雁荡西路路口,由东向西,0,2,0,0,1,4,32,21,16,23,23,28,28,21,26,21,20,17,15,18,14,6,3,1
1,鹿城区,大型汽车,330302000000,汤家桥南路雁荡西路路口,由北向南,7,4,2,1,9,6,35,56,22,30,29,33,31,31,26,21,22,13,19,25,26,19,24,14
1,鹿城区,大型汽车,330302000000,汤家桥南路雁荡西路路口,由南向北,3,9,2,2,6,6,11,11,8,10,7,17,16,8,16,9,20,12,9,5,15,7,9,7
1,鹿城区,大型汽车,330302000000,新城大道宏源路口,由东向西,5,4,2,1,4,30,75,86,90,86,88,82,75,82,82,89,105,99,76,54,40,32,21,19
1,鹿城区,大型汽车,330302000000,新城大道宏源路口,由北向南,2,0,0,1,0,1,15,16,19,16,14,16,18,17,13,15,14,19,13,12,6,2,1,0
1,鹿城区,大型汽车,330302000000,新城大道宏源路口,由西向东,7,3,0,3,6,11,74,126,108,119,111,96,105,99,97,98,112,88,93,70,50,35,33,12
1,鹿城区,大型汽车,330302000000,市府路府东路口,由东向西,1,1,0,0,0,9,24,13,14,12,14,13,15,14,17,19,21,27,12,8,7,6,3,0
1,鹿城区,大型汽车,330302000000,市府路府东路口,由南向北,3,0,3,1,1,2,15,11,14,17,28,10,22,20,18,17,20,21,16,17,10,3,3,2
1,鹿城区,大型汽车,330302000000,市府路府东路口,由西向东,2,3,2,1,3,6,22,60,42,49,38,42,36,40,41,43,42,43,38,37,25,9,11,3
1,鹿城区,大型汽车,330302000000,市府路惠民路口,由东向西,3,1,0,0,2,9,37,34,34,28,30,30,34,24,34,34,46,44,33,20,15,11,5,3
1,鹿城区,大型汽车,330302000000,市府路惠民路口,由北向南,2,1,1,4,5,15,30,27,29,22,23,26,26,27,22,20,24,22,20,6,12,8,6,9
1,鹿城区,大型汽车,330302000000,市府路惠民路口,由南向北,2,2,4,3,1,3,26,30,20,21,21,26,20,22,24,25,19,27,27,22,12,9,10,11
1,鹿城区,大型汽车,330302000000,市府路惠民路口,由西向东,4,4,1,5,4,2,21,71,41,58,47,48,50,43,51,52,49,43,52,40,30,16,18,8
1,鹿城区,大型汽车,330302000000,飞霞路学院路口,由东向西,0,0,0,0,7,25,59,67,80,59,62,68,69,60,60,69,64,55,60,28,28,21,21,3
1,鹿城区,大型汽车,330302000000,飞霞路学院路口,由北向南,2,4,3,5,8,8,53,57,56,45,66,50,50,49,48,50,47,0,47,41,26,25,8,2
1,鹿城区,大型汽车,330302000000,飞霞路学院路口,由西向东,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,3,0,1,0,0
1,鹿城区,大型汽车,330302000000,YD汤家桥路机场路路口,由东向西,16,16,6,3,10,27,48,40,35,53,54,55,45,44,55,61,50,37,45,36,22,20,14,20
1,鹿城区,大型汽车,330302000000,YD汤家桥路机场路路口,由北向南,10,2,0,1,7,8,31,43,19,23,24,28,26,25,23,21,20,18,15,14,14,9,12,8
1,鹿城区,大型汽车,330302000000,YD汤家桥路机场路路口,由南向北,3,10,2,3,7,9,43,40,37,32,40,48,53,47,50,45,32,24,33,29,34,23,21,8
1,鹿城区,大型汽车,330302000000,YD汤家桥路机场路路口,由西向东,8,4,2,3,5,9,67,85,55,64,92,80,82,90,81,82,81,43,64,62,50,28,30,9
1,鹿城区,大型汽车,330302000000,YD汤家桥路机场路路口,由西向北,3,1,1,2,2,2,8,24,14,20,18,16,19,20,20,22,19,13,10,8,8,3,8,6
1,鹿城区,大型汽车,330302000000,锦江路府东路口,由东向西,2,0,1,0,0,1,8,9,11,8,13,6,5,12,7,6,20,17,13,8,1,0,2,1
1,鹿城区,大型汽车,330302000000,锦江路府东路口,由北向南,6,6,5,4,0,9,16,27,14,16,21,24,13,19,24,12,14,14,12,15,13,10,9,2
1,鹿城区,大型汽车,330302000000,锦江路府东路口,由南向北,5,3,3,2,6,3,9,8,8,35,26,12,15,28,13,19,17,26,24,24,9,7,4,3
1,鹿城区,大型汽车,330302000000,锦江路府东路口,由西向东,2,0,1,0,0,2,17,21,17,16,23,17,16,12,16,17,13,12,15,6,8,0,2,1
1,鹿城区,大型汽车,330302000000,锦江路府西路口,由东向西,2,0,2,1,1,3,18,17,18,24,22,17,12,21,16,12,22,25,22,19,5,4,2,0
1,鹿城区,大型汽车,330302000000,锦江路府西路口,由北向南,0,1,0,1,1,1,2,4,3,1,1,0,3,3,2,1,1,1,3,0,1,1,1,0
1,鹿城区,大型汽车,330302000000,锦江路府西路口,由西向东,1,0,0,0,0,3,18,28,20,19,22,17,23,23,27,20,18,17,17,12,12,3,3,1
1,鹿城区,大型汽车,330302000000,车站大道黎明侨村,由北向南,15,16,8,7,12,16,45,98,86,86,88,68,67,74,79,98,100,102,94,70,61,54,34,31
1,鹿城区,大型汽车,330302000000,车站大道黎明侨村,由南向北,6,3,1,0,0,2,25,68,93,78,68,67,56,58,74,67,68,86,91,53,35,29,22,10
1,鹿城区,大型汽车,330302000000,瓯江一桥桥面,由北向南,20,20,12,13,17,22,33,45,39,35,69,52,62,54,48,42,57,41,40,24,38,31,26,18
1,鹿城区,大型汽车,330302000000,瓯江一桥桥面,由南向北,15,6,6,5,15,17,33,42,59,49,58,57,50,62,49,39,46,58,47,27,15,30,16,25
1,鹿城区,大型汽车,330302000000,飞霞南路三板桥,由北向南,9,6,3,12,12,23,61,81,84,71,81,82,83,71,66,79,74,103,73,66,48,50,37,28
1,鹿城区,大型汽车,330302000000,飞霞南路三板桥,由南向北,15,5,8,9,14,21,62,98,87,69,87,103,83,85,99,92,84,91,114,68,55,58,46,26
1,鹿城区,大型汽车,330302000000,锦绣路农贸市场,由北向南,7,5,3,6,7,9,46,75,59,43,39,44,54,39,54,47,64,69,55,22,35,16,22,8
1,鹿城区,大型汽车,330302000000,锦绣路农贸市场,由南向北,8,5,7,3,10,16,40,72,64,50,55,57,54,52,57,42,54,63,54,30,19,29,17,18
1,鹿城区,大型汽车,330302000000,江滨路东明路,由东向西,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0
1,鹿城区,大型汽车,330302000000,江滨路东明路,由西向东,7,6,3,3,0,1,3,9,32,28,34,23,15,4,0,0,27,30,7,1,1,2,23,16
1,鹿城区,大型汽车,330302000000,江滨路府东路,由西向东,2,2,0,1,1,2,10,17,34,16,18,21,16,17,17,24,24,16,17,12,7,8,12,4
1,鹿城区,大型汽车,330302000000,江滨路车站大道,由南向北,0,1,0,0,0,0,2,5,7,4,3,4,2,2,7,9,4,7,1,1,0,0,0,1
1,鹿城区,大型汽车,330302000000,江滨路汤家桥,由东向西,0,0,0,0,0,0,11,13,20,17,29,20,19,22,15,14,10,3,0,0,1,0,0,0
1,鹿城区,大型汽车,330302000000,勤奋路河通锦园前,由北向南,4,0,4,0,1,3,31,34,41,29,32,29,32,31,37,38,54,36,53,33,24,22,20,6
1,鹿城区,大型汽车,330302000000,勤奋路河通锦园前,由南向北,1,0,1,3,2,8,17,24,26,21,16,18,17,27,26,14,26,27,21,20,32,23,16,1
1,鹿城区,大型汽车,330302000000,临江镇西洲村,由东向西,28,26,21,12,15,18,14,24,13,13,19,12,16,10,11,10,16,12,17,18,15,30,25,23
1,鹿城区,大型汽车,330302000000,临江镇西洲村,由西向东,9,5,5,3,3,11,20,18,23,18,15,16,37,43,26,24,13,22,19,16,27,19,16,12
1,鹿城区,大型汽车,330302000000,DX小高桥乘凉桥口,由西向东,0,0,0,0,0,2,1,2,2,1,0,2,6,1,4,1,3,6,5,5,4,3,2,0
1,鹿城区,大型汽车,330302000000,330国道13KM+500M,由东向西,8,12,4,6,6,29,23,10,8,13,14,21,19,7,14,13,1,0,2,5,17,35,17,22
1,鹿城区,大型汽车,330302000000,330国道13KM+500M,由西向东,23,17,18,27,45,47,46,17,15,18,13,17,13,14,23,6,2,0,8,12,20,44,32,18
1,鹿城区,大型汽车,330302000000,330国道21KM+350M,由东向西,51,45,32,39,17,75,47,14,14,12,21,17,27,20,9,5,3,1,5,24,51,53,49,49
1,鹿城区,大型汽车,330302000000,330国道21KM+350M,由西向东,48,76,48,65,71,57,30,18,10,18,13,13,25,8,15,16,2,0,7,11,36,50,47,44
1,鹿城区,大型汽车,330302000000,DX温州大道惠民路路口,由东向西,4,0,1,0,0,8,38,50,73,48,73,68,62,60,60,58,45,82,48,33,19,18,6,2
1,鹿城区,大型汽车,330302000000,DX温州大道惠民路路口,由北向南,3,0,0,0,1,5,8,22,23,6,17,16,20,17,15,16,18,23,11,12,8,9,10,4
1,鹿城区,大型汽车,330302000000,DX温州大道惠民路路口,由西向东,0,0,0,0,0,0,12,39,40,34,38,43,38,30,45,52,52,39,12,1,3,1,1,1
1,鹿城区,大型汽车,330302000000,DX温州大道府东路路口,由东向西,6,0,2,0,5,3,28,33,59,43,55,61,46,48,48,27,29,72,58,38,20,26,12,6
1,鹿城区,大型汽车,330302000000,DX温州大道府东路路口,由北向南,0,2,1,0,2,6,7,33,19,16,8,12,15,11,15,12,19,11,12,10,9,13,7,2
1,鹿城区,大型汽车,330302000000,DX温州大道府东路路口,由西向东,6,10,5,7,6,17,54,98,127,106,111,92,97,88,94,102,82,100,71,49,32,23,14,12
1,鹿城区,大型汽车,330302000000,勤奋雪山路口,由东向西,4,0,1,0,5,3,19,24,23,27,32,29,16,14,20,20,15,23,32,39,21,20,24,10
1,鹿城区,大型汽车,330302000000,勤奋雪山路口,由北向南,0,0,0,0,1,12,30,37,40,25,29,33,32,28,38,29,38,31,26,20,15,23,13,0
1,鹿城区,大型汽车,330302000000,勤奋雪山路口,由南向北,2,0,1,0,2,2,3,15,12,10,8,11,5,8,16,13,9,10,7,3,7,5,2,2
1,鹿城区,大型汽车,330302000000,勤奋雪山路口,由西向东,1,0,0,0,1,1,14,33,26,30,36,33,33,37,23,34,28,31,24,35,10,3,2,2
1,鹿城区,大型汽车,330302000000,DX锦绣路惠民路路口,由东向西,3,1,0,1,4,3,26,27,28,35,38,23,29,27,28,24,21,38,44,34,39,18,10,9
1,鹿城区,大型汽车,330302000000,DX锦绣路惠民路路口,由北向南,3,3,2,2,6,12,36,43,45,38,44,44,50,54,41,40,40,60,50,24,21,22,8,4
1,鹿城区,大型汽车,330302000000,DX锦绣路惠民路路口,由西向东,4,11,0,1,2,11,28,29,28,24,17,26,18,11,27,27,16,21,28,33,28,11,8,11
1,鹿城区,大型汽车,330302000000,DX车站大道学院路路口,由东向西,3,1,1,0,1,4,12,20,21,35,26,26,22,23,18,21,19,21,38,18,14,13,7,4
1,鹿城区,大型汽车,330302000000,DX车站大道学院路路口,由北向南,1,0,0,1,0,3,29,26,20,28,30,26,24,16,27,18,24,37,42,31,31,30,18,7
1,鹿城区,大型汽车,330302000000,DX车站大道学院路路口,由南向北,2,1,0,1,0,6,39,52,41,50,59,51,43,37,51,50,52,69,63,40,31,27,27,8
1,鹿城区,大型汽车,330302000000,DX车站大道学院路路口,由西向东,1,1,0,0,1,1,7,14,17,14,25,21,17,20,23,30,28,36,22,13,13,9,4,4
1,鹿城区,大型汽车,330302000000,DX车站大道市府路路口,由东向西,2,1,0,1,0,3,8,8,11,21,18,17,14,15,13,7,21,29,20,12,16,8,7,3
1,鹿城区,大型汽车,330302000000,DX车站大道市府路路口,由北向南,0,1,1,0,2,4,16,25,15,25,19,12,12,16,18,10,19,20,14,13,11,13,9,2
1,鹿城区,大型汽车,330302000000,DX车站大道市府路路口,由南向北,0,0,0,0,0,7,32,29,29,35,52,39,44,38,46,47,45,49,57,37,22,11,1,0
1,鹿城区,大型汽车,330302000000,DX车站大道市府路路口,由西向东,1,1,1,0,0,2,8,12,18,18,11,13,13,9,20,28,25,26,21,14,11,10,9,7
1,鹿城区,大型汽车,330302000000,过境公路宽带路口,由东向北,0,0,0,0,2,2,6,14,12,12,7,5,4,6,3,7,7,16,9,2,1,1,3,0
1,鹿城区,大型汽车,330302000000,过境公路宽带路口,由东向南,13,4,1,1,10,16,101,93,75,107,100,87,96,91,86,70,79,88,96,62,42,27,20,11
1,鹿城区,大型汽车,330302000000,过境公路宽带路口,由西向南,3,2,0,2,4,2,22,35,41,41,43,44,34,39,55,37,58,46,34,16,19,21,11,2
1,鹿城区,大型汽车,330302000000,DX新城大道府东路路口,由东向西,7,3,1,0,4,3,36,48,57,38,43,35,44,40,52,30,44,60,43,27,33,39,21,13
1,鹿城区,大型汽车,330302000000,DX新城大道府东路路口,由北向南,4,4,0,3,1,12,59,74,75,69,74,74,67,72,80,68,89,80,72,51,39,43,31,17
1,鹿城区,大型汽车,330302000000,DX新城大道府东路路口,由南向北,0,0,0,0,0,0,6,13,15,15,10,12,12,14,11,21,20,18,15,14,9,6,6,3
1,鹿城区,大型汽车,330302000000,DX新城大道府东路路口,由西向东,2,0,0,0,3,8,38,61,60,68,57,64,43,52,54,65,69,69,47,35,23,17,9,8
1,鹿城区,大型汽车,330302000000,DX城西街嘉会里巷口,由北向南,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,鹿城区,大型汽车,330302000000,DX城西街嘉会里巷口,由南向北,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,1,1
1,鹿城区,大型汽车,330302000000,DX文华大厦西侧支路,由北向南,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,鹿城区,大型汽车,330302000000,DX文华大厦西侧支路,由南向北,0,0,0,0,0,0,0,2,4,7,0,4,5,2,1,1,3,9,0,1,0,2,0,0
1,鹿城区,大型汽车,330302000000,DX锦绣路府西路路口,由东向西,4,1,1,0,0,3,21,15,18,21,19,12,14,17,20,13,10,30,12,7,10,13,13,6
1,鹿城区,大型汽车,330302000000,DX锦绣路府西路路口,由北向南,0,0,0,0,0,0,0,0,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0
1,鹿城区,大型汽车,330302000000,DX锦绣路府西路路口,由南向北,0,0,1,0,1,2,10,8,7,7,10,4,4,10,6,3,9,12,6,3,3,2,1,0
1,鹿城区,大型汽车,330302000000,DX锦绣路府西路路口,由西向东,1,0,0,1,0,4,19,19,33,35,38,26,34,36,40,31,33,21,28,7,11,6,4,1
1,鹿城区,大型汽车,330302000000,DX百里东路解放街路口,由东向西,7,0,2,0,3,6,21,46,53,47,42,51,40,35,39,35,24,46,51,41,27,29,13,13
1,鹿城区,大型汽车,330302000000,DX百里东路解放街路口,由北向南,0,0,1,0,0,1,14,13,15,19,21,18,15,19,22,20,24,20,23,14,9,11,6,3
1,鹿城区,大型汽车,330302000000,DX百里东路解放街路口,由南向北,1,1,3,2,1,3,1,10,9,9,9,4,11,8,12,9,7,10,13,9,11,7,10,3
1,鹿城区,大型汽车,330302000000,DX百里东路解放街路口,由西向东,2,0,2,0,0,3,33,38,61,42,54,51,40,45,46,44,40,43,63,21,22,8,19,4
1,鹿城区,大型汽车,330302000000,七都大桥,由东向西,18,29,29,20,25,15,22,41,33,27,26,31,31,24,19,19,1,0,0,0,0,0,0,0
1,鹿城区,大型汽车,330302000000,七都大桥,由西向东,13,11,12,9,5,18,19,22,39,21,26,21,18,27,26,23,3,0,0,0,0,0,0,0
1,鹿城区,大型汽车,330302000000,XS温金路戴宅路路口,由东向西,0,0,2,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,9
1,鹿城区,大型汽车,330302000000,DX百里西路信河街路口,由东向西,4,2,2,0,1,7,17,40,52,59,51,55,50,42,46,42,37,48,76,46,34,23,19,12
1,鹿城区,大型汽车,330302000000,DX百里西路信河街路口,由北向南,1,0,1,0,0,0,2,12,7,6,21,8,4,7,8,6,8,11,3,0,2,0,0,0
1,鹿城区,大型汽车,330302000000,DX百里西路信河街路口,由南向北,7,0,0,2,0,2,28,38,49,37,42,40,36,33,50,38,43,47,36,11,16,8,9,4
1,鹿城区,大型汽车,330302000000,DX百里西路信河街路口,由西向东,1,6,2,0,1,2,30,26,49,36,48,38,44,36,52,55,58,46,43,14,13,12,18,7
1,鹿城区,大型汽车,330302000000,DX翠微大道景山隧道内（变道抓拍）,由北向南,15,10,11,4,16,16,18,24,17,20,22,21,24,21,21,13,19,23,20,24,29,27,24,17
1,鹿城区,大型汽车,330302000000,DX翠微大道景山隧道内（变道抓拍）,由南向北,7,4,3,2,7,5,18,12,25,14,16,17,21,14,14,22,15,15,26,15,15,13,11,17
1,鹿城区,大型汽车,330302000000,DX鹿城路泰力路路口,由东向西,5,0,0,0,1,18,55,86,79,72,79,79,69,76,86,74,71,77,72,58,42,28,33,20
1,鹿城区,大型汽车,330302000000,DX鹿城路泰力路路口,由北向南,0,2,1,1,3,5,12,22,11,16,19,24,20,25,19,16,32,28,12,11,8,5,9,6
1,鹿城区,大型汽车,330302000000,DX鹿城路泰力路路口,由南向北,5,0,0,0,1,20,85,79,91,76,88,75,85,79,89,68,97,94,60,36,30,27,17,4
1,鹿城区,大型汽车,330302000000,DX鹿城路泰力路路口,由西向东,0,0,0,0,0,4,0,3,2,1,1,0,0,1,1,4,2,4,2,0,0,0,0,0
1,鹿城区,大型汽车,330302000000,DX鞋都大道富士达路路口,由东向南,0,2,1,1,2,1,9,12,10,12,17,17,11,17,16,13,27,18,3,0,4,2,1,0
1,鹿城区,大型汽车,330302000000,DX鞋都大道富士达路路口,由东向西,5,2,2,0,5,11,16,37,39,41,37,27,26,26,23,22,36,27,38,25,22,32,24,18
1,鹿城区,大型汽车,330302000000,DX鞋都大道富士达路路口,由北向南,3,1,2,0,1,7,31,28,33,38,55,31,39,31,30,31,29,32,17,13,10,9,11,7
1,鹿城区,大型汽车,330302000000,DX鞋都大道富士达路路口,由西向东,4,3,1,1,1,6,35,39,35,32,38,41,38,27,32,40,36,36,28,21,14,16,15,7
1,鹿城区,大型汽车,330302000000,DX鞋都大道富士达路路口,由西向南,0,1,0,1,2,1,11,8,12,9,19,12,14,11,16,12,13,8,2,2,1,2,4,1
1,鹿城区,大型汽车,330302000000,DX-G330国道临江东街交叉口,由东向西,5,3,2,4,2,13,30,24,37,23,29,28,22,34,27,22,24,27,16,11,10,9,4,3
1,鹿城区,大型汽车,330302000000,DX锦绣路飞霞南路路口,由东向西,7,8,2,1,1,13,32,59,92,75,75,67,68,63,74,61,91,72,43,32,28,26,25,15
1,鹿城区,大型汽车,330302000000,DX锦绣路飞霞南路路口,由北向南,3,3,1,1,2,4,21,45,49,37,32,39,24,49,27,27,37,70,79,49,57,46,38,13
1,鹿城区,大型汽车,330302000000,DX锦绣路飞霞南路路口,由西向东,0,1,1,0,0,1,8,24,32,20,14,16,10,25,30,26,25,38,17,8,14,9,2,4
1,鹿城区,大型汽车,330302000000,DX锦江路惠民路路口,由东向西,1,0,0,0,0,1,10,8,21,11,14,7,11,13,13,13,16,23,22,9,13,9,4,2
1,鹿城区,大型汽车,330302000000,DX锦江路惠民路路口,由北向南,0,0,1,0,0,4,12,35,43,28,27,31,31,31,23,29,51,46,33,17,17,10,10,5
1,鹿城区,大型汽车,330302000000,DX锦江路惠民路路口,由南向北,2,2,5,1,0,5,34,45,46,31,34,38,39,27,43,36,46,41,30,26,18,12,14,12
1,鹿城区,大型汽车,330302000000,DX锦江路惠民路路口,由西向东,0,0,0,0,0,3,13,24,24,16,21,14,14,27,14,29,24,24,23,10,11,9,5,0
1,鹿城区,大型汽车,330302000000,DX汤家桥北路汇源路路口,由东向西,1,0,0,0,0,0,2,9,18,11,12,11,15,10,9,6,5,16,6,11,10,9,4,2
1,鹿城区,大型汽车,330302000000,DX汤家桥北路汇源路路口,由北向南,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0,0,0,0,0
1,鹿城区,大型汽车,330302000000,DX汤家桥北路汇源路路口,由南向北,1,1,0,0,2,1,5,12,21,16,12,11,12,10,10,18,15,18,22,8,16,9,7,2
1,鹿城区,大型汽车,330302000000,DX汤家桥北路新浦路路口,由东向西,0,0,0,0,0,0,3,14,10,17,16,8,9,7,3,10,6,7,4,2,2,2,1,0
1,鹿城区,大型汽车,330302000000,DX汤家桥北路新浦路路口,由北向南,1,1,0,0,0,0,4,15,13,12,5,17,10,12,5,3,17,21,10,8,7,5,2,1
1,鹿城区,大型汽车,330302000000,DX汤家桥北路新浦路路口,由南向北,1,0,0,0,0,3,28,39,52,39,36,33,29,35,35,45,50,44,23,15,12,13,5,2
1,鹿城区,大型汽车,330302000000,DX汤家桥北路新浦路路口,由西向东,0,1,0,0,0,0,4,11,11,10,7,6,4,4,5,7,9,11,3,6,2,0,2,2
1,鹿城区,大型汽车,330302000000,DX汤家桥北路学院路路口,由东向西,1,0,0,1,1,2,21,24,26,19,14,14,15,14,10,12,5,23,3,6,1,1,4,0
1,鹿城区,大型汽车,330302000000,DX汤家桥北路学院路路口,由北向南,0,0,0,0,7,0,4,6,15,5,5,6,9,5,4,4,12,9,6,12,3,4,2,1
